experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #99,SVM (mean),0.9773371104815864,0.9761980293400636,0.9852757374680826,0.9761904761904762,0.9729572373055282,0.9855064510616488,0.9936224489795918,0.9625531278192964,0.9775888571019254,0.9848293299620732,0.9683919094290268,0.9804712777279132
experiment #99,SVM (EM),0.9688385269121812,0.9836205331615206,0.9906926957859415,0.9699624530663328,0.981392014934718,0.991639840834632,0.9885204081632653,0.974218659412272,0.9852018752562206,0.9791535060012634,0.9783158660166172,0.9876705718703278
experiment #99,Decision Tree,0.9811142587346552,0.9715554964471363,0.981988035314464,0.9897435897435898,0.959089306760535,0.975725992007096,0.9846938775510204,0.9650418842537438,0.9795088542093756,0.9872122762148338,0.9628765878783552,0.976438502319514
experiment #100,SVM (mean),0.91123701605288,0.8168683332424165,0.8318587060271201,0.8929384965831435,0.89044123770804,0.9059968885462384,1.0,0.643246076765457,0.6723062439936419,0.9434416365824309,0.6677844079456333,0.7051670444751278
experiment #100,SVM (EM),0.9792256846081208,0.991670214848728,0.9977537606122702,0.985969387755102,0.988623851512994,0.9975506984631574,0.985969387755102,0.989176175358074,0.9969129756742678,0.985969387755102,0.9890576260966748,0.9970443103637624
experiment #100,Decision Tree,0.9442870632672332,0.8197393468399963,0.8346516365034429,0.9776021080368906,0.7632560995970811,0.7835555575106025,0.9464285714285714,0.770221504616252,0.7831121951383614,0.9617627997407648,0.7670604359734404,0.7821618645133038
experiment #101,SVM (mean),0.980169971671388,0.9771541427975872,0.9854516994822572,0.979874213836478,0.9736594301741138,0.985212179975579,0.9936224489795918,0.9639574198524254,0.9788882743020668,0.986700443318556,0.969664885846616,0.9807532493452796
experiment #101,SVM (EM),0.9763928234183192,0.9805190370470228,0.9892587565828236,0.9797724399494312,0.9760880693080158,0.9885064875137493,0.9885204081632653,0.9717020222577476,0.9841871785966892,0.984126984126984,0.9742779944466674,0.9858083843718356
experiment #101,Decision Tree,0.9622285174693108,0.969747801124676,0.9800164389866054,0.9881889763779528,0.9575424022689566,0.9754110973516088,0.9604591836734694,0.9609445578249158,0.9752255485121496,0.9741267787839586,0.960379808863398,0.9737710241692488
experiment #102,SVM (mean),0.7403210576015109,0.7895911277830261,0.7971906249009271,0.7403210576015109,0.8674902648698735,0.8909937568750719,1.0,0.590004948208536,0.6047985652920757,0.8507867607162235,0.5910436136992393,0.6136460563649805
experiment #102,SVM (EM),0.975448536355052,0.9847979569602096,0.9921617748227912,0.974937343358396,0.979603694373479,0.9899816465241124,0.9923469387755102,0.979926258831717,0.9900261228506064,0.9835651074589128,0.979997523395174,0.9897195387869056
experiment #102,Decision Tree,0.9527856468366384,0.9800572634639076,0.9901093021458224,0.9421686746987952,0.9713082046744465,0.9885230339671738,0.9974489795918368,0.9753649030447809,0.9871351690495686,0.9690210656753409,0.9739426201775094,0.9869822294935476
experiment #103,SVM (mean),0.983947119924457,0.9766643548543807,0.9866983444358428,0.9836065573770492,0.9723065185335416,0.9864296155381348,0.9948979591836736,0.9651397239178546,0.979674385352261,0.9892200380469244,0.9691198050507944,0.9823921286537456
experiment #103,SVM (EM),0.9792256846081208,0.984165440980715,0.9912827168107748,0.978643216080402,0.9798888909831692,0.9895155772704508,0.9936224489795918,0.9779483153155466,0.9880672361355308,0.9860759493670886,0.9791199140835234,0.9885406512796396
experiment #103,Decision Tree,0.95561850802644,0.9807127878456,0.9905844265496632,0.9510403916768666,0.9729202395974762,0.9898172690062578,0.9910714285714286,0.9761535648105985,0.9861129173925266,0.9706433479075578,0.9747799064222016,0.9875727852263502
experiment #104,SVM (mean),0.7403210576015109,0.7698795655782205,0.7783723871984676,0.7403210576015109,0.8708848568383856,0.8860223337585291,1.0,0.5494091158476152,0.5675560368237184,0.8507867607162235,0.523000747743838,0.5543249244610583
experiment #104,SVM (EM),0.975448536355052,0.9867417412131262,0.9939944288478648,0.974937343358396,0.9806116516472784,0.9917104859543708,0.9923469387755102,0.9841517115757876,0.9931923801942988,0.9835651074589128,0.9826270865517824,0.9921283599089772
experiment #104,Decision Tree,0.923512747875354,0.9847474124549505,0.9925932445340282,0.9063583815028902,0.9780475464927276,0.992624453727306,1.0,0.981103532753696,0.989121566103056,0.9508793208004852,0.9800425757636886,0.9902393989398196
experiment #105,SVM (mean),0.980169971671388,0.9776839325989464,0.9864341970154916,0.9810844892812106,0.9740228386682211,0.9863046192485856,0.9923469387755102,0.965487425865514,0.9798288509947056,0.9866835764109068,0.9704243170227916,0.9820420979686582
experiment #105,SVM (EM),0.9820585457979226,0.979791055176391,0.9865905120383608,0.9835651074589128,0.9755259265502312,0.9866504821323132,0.9923469387755102,0.9706012563982088,0.97864851090503,0.987936507936508,0.9733012941771608,0.9822386175809558
experiment #105,Decision Tree,0.7799811142587346,0.9811403537198636,0.9901561473323176,0.7708947885939036,0.9724539434191564,0.988034357515684,1.0,0.9775985425333148,0.9871115734377954,0.8706274292059967,0.9753797889862826,0.9870527282953616
